director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Scott Derrickson , Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,Action Adventure Fantasy Science Fiction,doctor strange, Benedict Cumberbatch Chiwetel Ejiofor Rachel McAdams Scott Derrickson  Action Adventure Fantasy Science Fiction
Mike Mitchell , Anna Kendrick,Justin Timberlake,Zooey Deschanel,Family Animation Fantasy Adventure Comedy Music,trolls, Anna Kendrick Justin Timberlake Zooey Deschanel Mike Mitchell  Family Animation Fantasy Adventure Comedy Music
Anna Biller , Samantha Robinson,unknown,unknown,Comedy Fantasy Romance Horror,the love witch, Samantha Robinson unknown unknown Anna Biller  Comedy Fantasy Romance Horror
David Yates , Eddie Redmayne,Katherine Waterston,Dan Folger,Adventure Fantasy,fantastic beasts and where to find them, Eddie Redmayne Katherine Waterston Dan Folger David Yates  Adventure Fantasy
"Ron Clements, John Musker ", Auliʻi Cravalho,Dwayne Johnson,Rachel House,Adventure Comedy Family Animation,moana," Auliʻi Cravalho Dwayne Johnson Rachel House Ron Clements, John Musker  Adventure Comedy Family Animation"
Damien Chazelle , Ryan Gosling,Emma Stone,John Legend,Comedy Drama Romance Music,la la land, Ryan Gosling Emma Stone John Legend Damien Chazelle  Comedy Drama Romance Music
Gareth Edwards , Felicity Jones,Diego Luna,Ben Mendelsohn,Action Adventure Science Fiction,rogue one: a star wars story, Felicity Jones Diego Luna Ben Mendelsohn Gareth Edwards  Action Adventure Science Fiction
John Lee Hancock , Michael Keaton,Nick Offerman,John Carroll Lynch,Drama History,the founder, Michael Keaton Nick Offerman John Carroll Lynch John Lee Hancock  Drama History
Garth Jennings , Matthew McConaughey,Reese Witherspoon,Seth MacFarlane,Family Animation Music Comedy Drama,sing, Matthew McConaughey Reese Witherspoon Seth MacFarlane Garth Jennings  Family Animation Music Comedy Drama
Peter Berg , Mark Wahlberg,Kevin Bacon,John Goodman,Action Crime Drama History Thriller,patriots day, Mark Wahlberg Kevin Bacon John Goodman Peter Berg  Action Crime Drama History Thriller
J. A. Bayona , Sigourney Weaver,Felicity Jones,Toby Kebbell,Drama Fantasy,a monster calls, Sigourney Weaver Felicity Jones Toby Kebbell J. A. Bayona  Drama Fantasy
